;;N°;;;Type;Date;Date;;;;;;;;;;
N° mandant;Nom court mandant;Mandataire;Nom court mandataire;PM/PP;mandat;attribution;résiliation;Motif attribution mandat;Nom contact chez le mandataire;Prénom contact;Téléfon contact;Fax contact;N° CCP;N° compte bancaire;IBAN;BIC SWIFT;Nom institution financière
-----------;------------------------------;-----------;------------------------------;-----;------;-----------;-----------;----------------------------------------;------------------------------;--------------------;----------------;----------------;---------------;--------------------;----------------------------------------;------------;--------------------------------------------------
70180;DE NECKER STRATEGIC CONSULTING;2235;FIDEXPERT LAUSANNE;ENT;G;28.10.2014;;;;;;;;;;;
70193;FRIENDLY FACTORIES;49198;LEMAN CABINET FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
70233;GENVIEW;40367;FIDUCIAIRE JAG GILLIERON;ENT;G;03.11.2014;;;;;;;;;;;
70246;SNV CHAMPIGNONS;511;FIDUCIAIRE JAQUES;ENT;G;06.11.2014;;;;;;;;;;;
70264;SOTHER & CO SWISS;14621;FIDUCIAIRE SAUGY;ENT;G;10.11.2015;;;;;;;;;;;
70278;JNS;43876;SB SWISSBUSINESS;ENT;G;11.11.2014;;;;;;;;;;;
70291;CASTEL ADRIEN;62232;FID CONSULTING;ENT;G;03.11.2014;;;;;;;;;;;
70299;NETIMOB;16358;ECOFISC;ETA;G;13.11.2014;;;;;;;;;;;
70303;WORK4CAD;39738;GROUPE FIDEXPERT;ENT;G;10.11.2014;;;;;;;;;;;
70326;APPNEXUS OAS SWITZERLAND;12;DELOITTE LAUSANNE;ETA;G;01.10.2014;;;;;;;;;;;
70344;CRUDO PLATRERIE PEINTURE;42494;FIDUCIAIRE SCHULE & KRIEGER;ENT;G;18.11.2014;;;;;;;;;;;
70346;METACO;31183;CF COMPAGNIE FIDUCIAIRE GESTIO;ENT;G;19.11.2014;;;;;;;;;;;
70368;GRAND MEAULNES;52209;FM BUREAU COMPTABLE;ENT;G;20.11.2014;;;;;;;;;;;
70383;CHEMALIVE;36187;PRATEO CONSEIL;ENT;G;20.11.2014;31.12.2015;;;;;;;;;;
70383;CHEMALIVE;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
70390;ABRA TECHNIQUE;1905;FIDUCIAIRE TURRIAN;ENT;G;14.11.2014;;;;;;;;;;;
70392;AUBERGE COMMUNALE CROIX PAILLY;40263;PB FIDUCIAIRE;ENT;G;25.11.2014;;;;;;;;;;;
70394;GDI CONSULTING;51575;FIDACOR;ENT;G;26.11.2014;;;;;;;;;;;
70397;GOLD GYM ST SULPICE;4469;FIDUCIAIRE STOUDMANN R & C;ENT;G;25.11.2014;;;;;;;;;;;
70401;GARAGE LOUP;18711;CRF FIDUCIAIRE CONSEILS;ENT;G;26.11.2014;;;;;;;;;;;
70410;HAPPY CHILDREN;45787;FIDUREV;ENT;G;01.01.2015;;;;;;;;;;;
70437;CHEVAL DU CIEL;22318;FIDULIO BUREAU FIDUCIAIRE;ETA;G;27.11.2014;;;;;;;;;;;
70438;MACLO;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;27.11.2014;;;;;;;;;;;
70440;MV METAL VERRE;59874;CFD CABINET FIDUCIAIRE DAYER;ENT;G;27.11.2014;;;;;;;;;;;
70468;HAWAII INTERACTIVE;30221;SWMH FIDUCIAIRE CONSEILS;ENT;G;24.11.2014;;;;;;;;;;;
70490;GENERATION PARQUET;2063;BETTEX FRERES & PARTENAIRES;ENT;G;01.01.2015;;;;;021 321'10'61;;;;;;
70531;HISTORIC RACING GARAGE;22336;FIDUCIAIRE LAMBELET FIDAL;ETA;G;28.11.2014;;;;;;;;;;;
70533;LEFLO;22318;FIDULIO BUREAU FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
70534;LARKO MONTAGE;51950;FCF CONSULTING;ENT;G;01.01.2015;;général;;;021 552'77'78;;;;;;
70536;DRAVILL;1905;FIDUCIAIRE TURRIAN;ENT;G;05.12.2014;;;;;;;;;;;
70540;FLY DOUDI;60;FIDUCIAIRE DREYFUS & ZURBUCHEN;ENT;G;06.12.2014;;;;;;;;;;;
70549;HELVIDENT CLINIQUE DENTAIRE;73674;FIDULAB;ENT;G;08.12.2014;;;;;;;;;;;
70551;DSG;64747;CCFG;ENT;G;10.12.2014;;;;;;;;;;;
70556;PHILIPPE DECRAUZAT;17452;PROFIDUCIA CONSEILS;ETA;G;09.12.2014;;;;;;;;;;;
70579;CLARIVAL;4676;FIDUCIAIRE TECHNIKOR;ENT;G;10.12.2014;;;;;;;;;;;
70588;INITIAL STRATEGIE;37725;SYNERGIX;ENT;G;11.12.2014;;;;;;;;;;;
70596;GARCIA JOAQUIN;69225;LM FIDUCIAIRE;ENT;G;12.12.2014;;;;;;;;;;;
70622;AQUATIS HOTEL;32089;BOAS GESTION;ENT;G;15.12.2014;;;;;;;;;;;
70625;YVES PASHE PAYSAGISTE;39027;ACYGEST;ENT;G;17.12.2014;;;;;;;;;;;
70634;IN SIGHT S;3848;MULTIFIDUCIAIRE LEMAN;ETA;G;01.12.2014;;;;;;;;;;;
70642;FARASER HOLDING;48792;FIDUCIAIRE BFC;ENT;G;18.12.2014;;;;;;;;;;;
70643;GVR INVEST;8088;FIDUCIAIRE GUY BORLOZ;ENT;G;10.12.2014;;;;;;;;;;;
70644;G THERAPEUTICS;14621;FIDUCIAIRE SAUGY;ENT;G;17.12.2014;;;;;;;;;;;
70670;TWENTY9;63264;CVALUE;ENT;G;18.12.2014;;;;;;;;;;;
70694;GOOD HOLD;28127;FIDASSIST;ENT;G;22.12.2014;;;;;;;;;;;
70723;PEINTURE FACADES RRAMANAJ;71009;FIDUSAV;ENT;G;01.01.2015;;;;;021 353'02'10;;;;;;
70728;NORBA PRODUCTION;34256;ORTAG;ENT;G;24.12.2014;;;;;;;;;;;
70731;GOOD HOME;28127;FIDASSIST;ENT;G;23.12.2014;;;;;;;;;;;
70741;ANTAREZ;14790;MAZARS LAUSANNE;ETA;G;25.12.2014;;;;;;;;;;;
70752;DTTEC;58017;ILEX FIDUCIAIRE;ENT;G;25.12.2014;;;;;;;;;;;
70754;JMZ CONSEILS;47926;FGS FIDUCIAIRE SICURANZA;ENT;G;25.12.2014;;;;;;;;;;;
70755;COBAC;52;FIDUCIAIRE SCHICK;ENT;G;24.12.2014;;;;;;;;;;;
70766;ARC ROULAGE CONSTRUCTIONS;1671;FIDUCIAIRE COMMERCE INDUSTRIE;ENT;G;06.01.2015;;;;;;;;;;;
70769;ATHOMESWITZERLAND;24098;FIDBOX DAMIEN ASTOLFI;ETA;G;06.01.2015;;;;;;;;;;;
70771;DIZA IMMOBILIER;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;06.01.2015;;;;;;;;;;;
70774;STUCKI FERBLANTERIE COUVERTURE;9;FIDOC & PARTENAIRES FIDUCIAIRE;ENT;G;01.01.2015;;;;;021 866'65'67;;;;;;
70778;PHOENIX ECOLE CONDUITE;63;AFIDUGERE;ENT;G;06.01.2015;;;;;;;;;;;
70791;FAUCHERRE ENVIRONNEMENT;7652;PRICEWATERHOUSECOOPERS;ETA;G;07.01.2015;31.12.2015;;;;;;;;;;
70795;NEWMAGINA;1108;FIDUCIAIRE INTERMANDAT;ENT;G;08.01.2015;;;;;;;;;;;
70798;GOURMET ASIE;59613;NORTHERN STAR;ENT;G;01.01.2015;;;;;;;;;;;
70813;FCG CONSULTING;49198;LEMAN CABINET FISCAL;ENT;G;09.01.2015;;;;;;;;;;;
70815;CLINIQUE SUISSE MONTREUX;825;FIDURBA;ENT;G;24.12.2014;;;;;;;;;;;
70816;GPR ADVISORS;42850;PRYSM ADVISOR;ENT;G;01.01.2015;;;;;;;;;;;
70823;P2J;34260;FIDUCIAIRE ENDERLI;ENT;G;07.10.2014;;;;;;;;;;;
70824;SINOGROUPE;2047;FIDUCIAIRE LAMBELET FIDAL;ENT;G;01.01.2015;;;;;;;;;;;
70827;ECOLUTION;46397;FIDUCIAGEST;ENT;G;13.01.2015;;;;;;;;;;;
70848;INEOS STYROLUTION SWITZERLAND;7576;ERNST & YOUNG GENEVE;ETA;G;01.01.2015;;;;;;;;;;;
70854;CO2 FASHION SHOP;11258;FIDEURO;ENT;G;01.01.2015;;;;;;;;;;;
70901;FIRO IMMOBILIER;48792;FIDUCIAIRE BFC;ENT;G;16.01.2015;;;;;;;;;;;
70932;GLUBINA PROVESTMANAGEMENT;20230;COFIREV BUREAU FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
70948;E6;17481;BDO EPALINGES;ETA;G;20.01.2015;;;;;;;;;;;
70956;EUROPEAN CHAMPIONSHIPS MANAG;9738;FIDUCIAIRE HELLER;ENT;G;22.01.2015;;;;;;;;;;;
70963;FACE TEC;45775;FIDUCIAIRE Y LANOIR & CIE;ENT;G;01.01.2015;;;;;;;;;;;
70980;GONTHIER & SCHNEEBERGER;12620;FRI REVISION & INFORMATIQUE;ENT;G;23.01.2015;;;;;;;;;;;
70989;VERBIERCENTRES;31412;ALPINA FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
70996;VAULION HOLDINGS;57;KPMG LAUSANNE;ETA;G;01.01.2014;;;;;;;;;;;
71011;HEVIMEDS;16358;ECOFISC;ETA;G;28.01.2015;;;;;;;;;;;
71016;ANTONIO SAGGIO PEINTURE;21807;GRF FIDUCIAIRE;ENT;G;16.01.2015;;;;;;;;;;;
71038;VAIANO NETTOYAGE;2063;BETTEX FRERES & PARTENAIRES;ENT;G;01.07.2014;;;;;;;;;;;
71052;AFK PARTNERS ASSET MANAGEMENT;1821;OFISA;ENT;G;01.01.2015;;;;;;;;;;;
71076;VIE EST BELLE;12665;EGC GESTION & CONSEILS;ETA;G;01.01.2015;;;;;;;;;;;
71079;I & S HOLDING;8041;FIDUCIAIRE CIARDO;ETA;G;06.02.2015;;;;;;;;;;;
71094;MEDYNAMIC;62232;FID CONSULTING;ENT;G;22.01.2015;;;;;;;;;;;
71110;SUISSE PUBLICATIONS;2093;OFICO FIDUCIAIRE;ENT;G;10.02.2015;;;;;;;;;;;
71111;SWISS M&H AZIMI;11797;FIDUCIAIRE FIDAZED;ENT;G;10.02.2015;;;;;;;;;;;
71140;QRIOS VENTURES;47474;AFINA FIDUCIAIRE;ENT;G;13.02.2015;;;;;;;;;;;
71170;MAISON CADRE;39189;MCM FIDUCIAIRE;ENT;G;17.01.2015;;;;;;;;;;;
71171;VIKING PROJECT;42349;MICHEL PREUX ASSOCIES;ENT;G;19.02.2015;;;;;;;;;;;
71222;LIFETREE;46397;FIDUCIAGEST;ENT;G;26.02.2015;;;;;;;;;;;
71225;LCS 1963;2235;FIDEXPERT LAUSANNE;ENT;G;26.02.2015;;;;;;;;;;;
71236;GRAND TOURS PROJECT;49616;MGI AUDIT & GESTION;ENT;G;28.02.2015;;;;;;;;;;;
71237;TOUCAN;3186;FITAG CABINET FISCAL;ENT;G;27.02.2015;;;;;;;;;;;
71265;ANEMOMIND;69200;BIZVIZ;ENT;G;04.03.2015;;;;;;;;;;;
71319;LE MILIEU;47926;FGS FIDUCIAIRE SICURANZA;ENT;G;01.01.2015;;;;;;;;;;;
71329;PANDELY CONSTRUCTION;72405;FIDUWORLD;ENT;G;12.03.2015;;;;;;;;;;;
71342;YOGA ART CLUB;2235;FIDEXPERT LAUSANNE;ENT;G;16.03.2015;;;;;;;;;;;
71376;MEDIALIEN;23008;FIDUCIAIRE SANDRINE VIGLINO;ETA;G;19.03.2015;;;;;;;;;;;
71416;STARTUPB;24034;ADP GESTION FIDUCIAIRE;ETA;G;24.03.2015;;;;;;;;;;;
71433;ORMENDES;2063;BETTEX FRERES & PARTENAIRES;ENT;G;26.03.2015;;;;;;;;;;;
71454;CARROLL COMMUNICATION COACHING;46397;FIDUCIAGEST;ENT;G;30.03.2015;;;;;021 922'53'80;;;;;;
71476;POSE 2 CARRELAGE;14185;ATLAS PARTNERS;ENT;G;01.04.2015;;;;;;;;;;;
71515;CAPSANA;22318;FIDULIO BUREAU FIDUCIAIRE;ETA;G;11.03.2015;;;;;;;;;;;
71530;CAKES AND CO;58017;ILEX FIDUCIAIRE;ENT;G;08.04.2015;;;;;;;;;;;
71551;QUAI 22;31183;CF COMPAGNIE FIDUCIAIRE GESTIO;ENT;G;10.04.2015;;;;;;;;;;;
71561;CABINET DENTAIRE CHANTAVRIL;64829;PRATEO;ENT;G;13.04.2015;;;;;;;;;;;
71565;ADA TRANSPORTS;4485;EA GROUP;ENT;G;01.01.2015;;;;;;;;;;;
71570;NISSAN INTERNATIONAL SERVICES;8018;PRICEWATERHOUSECOOPERS;ETA;G;14.04.2015;;;;;;;;;;;
71574;JACKYS NETTOYAGES;68189;M2 CONSEIL;ENT;G;15.04.2015;;;;;;;;;;;
71619;ICTSOLUTION & SERVICES;3731;STE CONTROLE FIDUCIAIRE;ETA;G;20.04.2015;;;;;;;;;;;
71633;ALFORE;53845;FIDELEX;ENT;G;24.04.2015;;;;;;;;;;;
71646;LOGIONE;72689;DYN;ENT;G;29.04.2015;;;;;;;;;;;
71701;STSAT;1939;AUDICT FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
71717;ROULNET;9270;FIDEXPERT;ENT;G;01.01.2015;;;;;;;;;;;
71757;PERDURA;38614;FIDEBI SOCIETE FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
71760;COEUR FROMAGE;3731;STE CONTROLE FIDUCIAIRE;ETA;G;08.05.2015;;;;;;;;;;;
71769;WATER CODE;4713;FIDOFFICE;ENT;G;01.01.2015;;;;;;;;;;;
71827;QUADRANE;70044;FIDUCIAIRE LEMANIQUE;ENT;G;01.01.2015;;;;;;;;;;;
71858;NOMAD CHEF;68865;FREE FIDUCIAIRE & FAMILY;ENT;G;01.01.2015;;;;;021 922'01'30;;;;;;
71859;ROBERT NAEF;1905;FIDUCIAIRE TURRIAN;ENT;G;01.01.2015;;;;;;;;;;;
71865;ECOPEINTURE;28127;FIDASSIST;ENT;G;01.05.2015;;;;;;;;;;;
71891;AVIPREST;73498;DFG FIDUCIAIRE;ENT;G;01.05.2015;;;;;;;;;;;
71897;PARETO PROPERTIES;5252;FIDUCIAIRE TURIN ASSOCIES;ENT;G;01.01.2015;;;;;;;;;;;
71926;CHAPMAN CONSTRUCTION;63264;CVALUE;ENT;G;01.01.2015;;;;;;;;;;;
71941;E NAGY;176162;Giuseppe Bagarozza;IND;G;27.05.2015;;;;;;;;;;;
71942;ELITE MEDICAL CONSULTING;1659;FIDUCIAIRE J INEICHEN;ENT;G;27.05.2015;31.12.2016;;;;;;;;;;
71947;MENUISERIE DA COSTA;71113;FIDUCIAIRE CONSEIL ORSINO;ENT;G;01.01.2015;;;;;;;;;;;
71956;CLAUDE PARIS TRANSPORT;8106;KOHLI FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
71979;LEMAN IMPORT EXPORT;22152;BL CONSEIL B LAZREG;ETA;G;03.06.2015;;;;;;;;;;;
71986;PERRIN TECBAT;17509;BCS FIDUCIAIRE OLGA HARTWIG;ETA;G;28.05.2015;;;;;;;;;;;
71995;HOMETECH SECURITE;52946;FIDAC CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
72018;SOCOA;26798;CFG CABINET COMPTABLE & FISCAL;ENT;G;01.05.2015;;;;;;;;;;;
72055;PHARMACIE CHAVORNAY;17481;BDO EPALINGES;ETA;G;01.01.2015;;;;;;;;;;;
72061;IDEAL ASSUR;22318;FIDULIO BUREAU FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
72091;GREEN PACK SWISS;14841;MULLER CHRISTE ASSOCIES;ENT;G;01.01.2015;;;;;;;;;;;
72106;ATELIER ANAIS CORALIE;73467;FID ONE FIDUCIAIRE;ENT;G;25.06.2015;;;;;;;;;;;
72113;VISION CREATION;44370;FIDUCIA PARTNER;ENT;G;24.06.2015;;;;;;;;;;;
72123;SECORS;23008;FIDUCIAIRE SANDRINE VIGLINO;ETA;G;01.01.2015;;;;;;;;;;;
72152;BFHL HOLDING;6764;PRICEWATERHOUSECOOPERS PULLY;ETA;G;29.06.2015;;;;;;;;;;;
72155;KARLEN MACONNERIE GENIE CIVIL;39738;GROUPE FIDEXPERT;ENT;G;01.01.2015;;;;;;;;;;;
72163;PROSPERIT HOLDING;72689;DYN;ENT;G;30.06.2015;;;;;;;;;;;
72183;CONTILI FRERES;2068;FIDUGERE PARTENAIRES;ENT;G;01.01.2015;;;;;021 886'30'60;;;;;;
72185;STOLL IMMOBILIER;37256;FIDUCONSULT FIDYVER;ENT;G;01.01.2015;;;;;;;;;;;
72189;GRANCYCO;2069;BFF & ASSOCIES;ENT;G;01.01.2015;;;Martin;C.;021 331'10'04;;;;;;
72191;ESPOSITO & JAVET ARCHITECTES;2160;FIDUCIAIRE CM FIDATEL;ENT;G;01.01.2015;;;;;;;;;;;
72195;CELLMEDICA;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;03.07.2015;31.12.2015;;;;;;;;;;
72221;GARAGE PLAINE;2083;FIDUROLLE;ENT;G;01.01.2015;;;;;;;;;;;
72223;CAFE RESTAURANT OBERSON;4633;GASTROCONSULT PULLY;ETA;G;01.01.2015;;;;;;;;;;;
72243;SWISSIMPORTEXPORT;2069;BFF & ASSOCIES;ENT;G;10.07.2015;;;;;;;;;;;
72253;4TPL;68865;FREE FIDUCIAIRE & FAMILY;ENT;G;10.07.2015;;;;;;;;;;;
72297;ACTIVEO SUISSE;2083;FIDUROLLE;ENT;G;17.07.2015;;;;;;;;;;;
72308;ATALENTIS GROUP;46397;FIDUCIAGEST;ENT;G;21.07.2015;;;;;;;;;;;
72313;SENSECO;38481;COMPTA FISC SYNERGIE;ENT;G;01.01.2015;;;;;;;;;;;
72321;GOLIVE TRAINING;2235;FIDEXPERT LAUSANNE;ENT;G;23.07.2015;;;;;;;;;;;
72345;CARROSSERIE AYME;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;01.01.2015;;;;;;;;;;;
72399;IMMO RESIDENCE;24397;RUFFIEUX FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;026 919'86'19;026 919'86'15;;;;;
72415;JB FRANCO GOLAY;63264;CVALUE;ENT;G;01.01.2015;;;;;;;;;;;
72493;MBSI MEDICAL BIOBANK SWISS;17452;PROFIDUCIA CONSEILS;ETA;G;01.01.2015;;;;;;;;;;;
72531;VCLEAN;63264;CVALUE;ENT;G;01.01.2015;;;;;;;;;;;
72548;RESTAURANT PIZZERIA RIALTO;44717;FIDUCIAIRE MEICHTRY;ENT;G;01.01.2015;;;;;;;;;;;
72563;TICTAC;15644;FIDUCIAIRE HD HELENA DESARZENS;ETA;G;01.01.2015;;;;;;;;;;;
72578;PASTA SHOW;40263;PB FIDUCIAIRE;ENT;G;01.09.2015;;;;;;;;;;;
72615;EXPERCONNECT;522;FIREL BERNEY;ENT;G;01.01.2015;;;;;;;;;;;
72629;BEMA IMMOBILIER;6764;PRICEWATERHOUSECOOPERS PULLY;ETA;G;09.09.2015;;;;;;;;;;;
72755;CLIMAT LOCATION;2776;FIDUCIAIRE VERIFID;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
72890;H CONCEPT;62232;FID CONSULTING;ENT;G;01.01.2015;;;;;;;;;;;
72985;MS MONTREUX SPORTS CLUB;72972;VALOREMTAX FINANCE;ENT;G;01.01.2015;;;;;;;;;;;
73109;HOSTETTLER CONSULTING;2083;FIDUROLLE;ENT;G;01.01.2015;;;;;021 825'40'51;;;;;;
73737;CECEF;1101;MY FIDUCIAIRE;ENT;G;01.01.2015;;;;;021 320'72'53;;;;;;
